director_name,director_facebook_likes,actor_3_facebook_likes,actor_2_name,gross,genres,actor_1_name,movie_title,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,num_user_for_reviews,budget
Darren Lynn Bousman,163,636,Paris Hilton,140244,Horror|Musical|Sci-Fi,Alexa PenaVega,Repo! The Genetic Opera ,4168,1,future|murder|opera|repossession|surgery,259,8500000
Serdar Akar,11,173,Bergüzar Korel,,Action|Adventure,Necati Sasmaz,Valley of the Wolves: Iraq ,808,3,abu ghraib|bomb|christian|explosion|iraq,159,8300000
Quentin Tarantino,16000,857,Eric Stoltz,107930000,Crime|Drama,Bruce Willis,Pulp Fiction ,16557,1,black comedy|cunnilingus|neo noir|nonlinear timeline|postmodern,2195,8000000
James Frawley,21,842,Jim Henson,76657000,Adventure|Comedy|Family|Musical,Madeline Kahn,The Muppet Movie ,5673,0,friend|frog leg|on the road|restaurant|the muppets,92,
Dan Gilroy,66,85,Michael Papajohn,32279955,Crime|Drama|Thriller,Jake Gyllenhaal,Nightcrawler ,15554,1,employer employee relationship|ethics|journalism|sociopath|tv news,552,8500000
Jay Chandrasekhar,422,422,Lindsay Price,4992159,Comedy|Horror|Thriller,Brittany Daniel,Club Dread ,3306,2,beach|island|party|resort|serial killer,201,8550000
Robert Wise,338,195,Angela Cartwright,163214286,Biography|Drama|Family|Musical|Romance,Eleanor Parker,The Sound of Music ,1495,3,austria|children|governess|love|orchestral music score,406,8200000
Ron Howard,2000,51,Howard Morris,69800000,Comedy|Fantasy|Romance,Tom Hanks,Splash ,15361,2,cmnf|cmnf scene|mermaid|new york city|public nudity,99,8000000
Jonathan Dayton,36,27,Steven Christopher Parker,59889948,Comedy|Drama,Steve Carell,Little Miss Sunshine ,7227,1,gay|graduate student|sister sister relationship|sprite|uncle nephew relationship,889,8000000
Rob Reiner,0,107,Frances Lee McCain,52287414,Adventure|Drama,Marshall Bell,Stand by Me ,644,2,friendship|summertime|treehouse|walking on train tracks|woods,584,8000000
Danny Boyle,0,27,Megan Burns,45063889,Drama|Horror|Sci-Fi|Thriller,Noah Huntley,28 Days Later... ,241,0,laboratory|london england|military|virus|zombie apocalypse,1441,8000000
Chris Stokes,548,360,Marques Houston,40066497,Drama|Music,Jennifer Freeman,You Got Served ,1792,0,competition|dance contest|friend|money|street dancing,247,8000000
Don Siegel,152,459,Patrick McGoohan,36500000,Biography|Crime|Drama,Clint Eastwood,Escape from Alcatraz ,17568,0,alcatraz|escape|inmate|island|prison,142,8000000
Rick Famuyiwa,44,458,Sanaa Lathan,27362712,Comedy|Drama|Music|Romance,Boris Kodjoe,Brown Sugar ,3199,1,basketball|hip hop|rap music|record company|writer,60,8000000
