director_name,actor_1_name,movie_title,num_voted_users,actor_3_name,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,content_rating,title_year,imdb_score,aspect_ratio,movie_facebook_likes
,Jim Broadbent,War & Peace             ,9277,Lily James,1,http://www.imdb.com/title/tt3910804/?ref_=fn_tt_tt_1,44,TV-14,,8.2,16.0,11000
Peter Howitt,Jeanne Tripplehorn,Sliding Doors ,52805,John Lynch,1,http://www.imdb.com/title/tt0120148/?ref_=fn_tt_tt_1,278,R,1998,6.8,1.85,0
Rusty Cundieff,Corbin Bernsen,Tales from the Hood ,4582,David Alan Grier,0,http://www.imdb.com/title/tt0114609/?ref_=fn_tt_tt_1,52,R,1995,6.1,1.85,985
Kevin Macdonald,David Oyelowo,The Last King of Scotland ,145580,Abby Mukiibi Nkaaga,1,http://www.imdb.com/title/tt0455590/?ref_=fn_tt_tt_1,351,R,2006,7.7,2.35,0
Dominique Othenin-Girard,Donald Pleasence,Halloween 5 ,22929,Troy Evans,1,http://www.imdb.com/title/tt0097474/?ref_=fn_tt_tt_1,287,X,1989,5.2,1.85,926
Richard Linklater,Matthew McConaughey,Bernie ,45396,Rick Dial,1,http://www.imdb.com/title/tt1704573/?ref_=fn_tt_tt_1,136,PG-13,2011,6.8,1.85,15000
Jean-Jacques Mantello,Charlotte Rampling,Dolphins and Whales 3D: Tribes of the Ocean ,172,,0,http://www.imdb.com/title/tt0996382/?ref_=fn_tt_tt_1,5,,2008,6.5,1.78,28
Ed Harris,John Heard,Pollock ,23023,Amy Madigan,0,http://www.imdb.com/title/tt0183659/?ref_=fn_tt_tt_1,148,R,2000,7.0,1.85,0
Risa Bramon Garcia,Janeane Garofalo,200 Cigarettes ,13010,Gaby Hoffmann,5,http://www.imdb.com/title/tt0137338/?ref_=fn_tt_tt_1,182,R,1999,5.9,1.85,0
Brian Klugman,J.K. Simmons,The Words ,59637,Olivia Wilde,1,http://www.imdb.com/title/tt1840417/?ref_=fn_tt_tt_1,130,PG-13,2012,7.1,1.85,21000
Matt Piedmont,Will Ferrell,Casa de mi Padre ,17169,Luis E. Carazo,1,http://www.imdb.com/title/tt1702425/?ref_=fn_tt_tt_1,70,R,2012,5.5,2.35,9000
Raymond De Felitta,Ezra Miller,City Island ,27301,Dominik García-Lorido,6,http://www.imdb.com/title/tt1174730/?ref_=fn_tt_tt_1,101,PG-13,2009,7.4,1.85,0
John Michael McDonagh,Don Cheadle,The Guard ,64794,Wale Ojo,0,http://www.imdb.com/title/tt1540133/?ref_=fn_tt_tt_1,131,R,2011,7.3,2.35,17000
Deb Hagan,Drake Bell,College ,11011,Haley Bennett,0,http://www.imdb.com/title/tt0844671/?ref_=fn_tt_tt_1,78,R,2008,4.6,1.85,422
Sofia Coppola,Kirsten Dunst,The Virgin Suicides ,116910,Scott Glenn,0,http://www.imdb.com/title/tt0159097/?ref_=fn_tt_tt_1,520,R,1999,7.2,1.85,0
Mark Herman,Jim Broadbent,Little Voice ,13892,Brenda Blethyn,4,http://www.imdb.com/title/tt0147004/?ref_=fn_tt_tt_1,160,R,1998,7.0,1.85,915
Zach Cregger,Hugh M. Hefner,Miss March ,18313,Raquel Alessi,2,http://www.imdb.com/title/tt1151922/?ref_=fn_tt_tt_1,73,R,2009,5.1,1.85,985
Zach Braff,Jim Parsons,Wish I Was Here ,29341,Michael Weston,4,http://www.imdb.com/title/tt2870708/?ref_=fn_tt_tt_1,93,R,2014,6.7,2.35,0
Mark Tarlov,Sarah Michelle Gellar,Simply Irresistible ,11439,Lawrence Gilliard Jr.,1,http://www.imdb.com/title/tt0145893/?ref_=fn_tt_tt_1,190,PG-13,1999,5.3,2.35,901
,Francis Capra,Veronica Mars             ,55524,Enrico Colantoni,1,http://www.imdb.com/title/tt0412253/?ref_=fn_tt_tt_1,315,TV-14,,8.4,1.78,0
John Cameron Mitchell,John Cameron Mitchell,Hedwig and the Angry Inch ,26300,Andrea Martin,0,http://www.imdb.com/title/tt0248845/?ref_=fn_tt_tt_1,231,R,2001,7.8,1.85,0
Sheldon Lettich,Antoni Corone,Only the Strong ,4195,Todd Susman,1,http://www.imdb.com/title/tt0107750/?ref_=fn_tt_tt_1,50,PG-13,1993,6.7,1.85,0
Jon Knautz,Rachel Alig,Goddess of Love ,522,Alexis Kendra,0,http://www.imdb.com/title/tt3432552/?ref_=fn_tt_tt_1,5,,2015,5.4,2.35,84
Billy Ray,Hayden Christensen,Shattered Glass ,28855,Cas Anvar,0,http://www.imdb.com/title/tt0323944/?ref_=fn_tt_tt_1,190,PG-13,2003,7.2,2.35,0
David Atkins,Chelcie Ross,Novocaine ,9589,Polly Noonan,3,http://www.imdb.com/title/tt0234354/?ref_=fn_tt_tt_1,105,R,2001,5.8,1.85,289
Patrick Stettner,Stockard Channing,The Business of Strangers ,3413,Frederick Weller,2,http://www.imdb.com/title/tt0270259/?ref_=fn_tt_tt_1,78,R,2001,6.4,1.85,29
Sam Peckinpah,William Holden,The Wild Bunch ,63192,L.Q. Jones,1,http://www.imdb.com/title/tt0065214/?ref_=fn_tt_tt_1,287,R,1969,8.0,2.35,0
Jonathan Levine,Mary-Kate Olsen,The Wackness ,27266,Method Man,2,http://www.imdb.com/title/tt1082886/?ref_=fn_tt_tt_1,75,R,2008,7.0,2.35,0
Michael Crichton,Lesley-Anne Down,The Great Train Robbery ,11623,Pamela Salem,2,http://www.imdb.com/title/tt0079240/?ref_=fn_tt_tt_1,50,PG,1979,7.0,1.85,643
Lynne Ramsay,Samantha Morton,Morvern Callar ,6906,Paul Popplewell,0,http://www.imdb.com/title/tt0300214/?ref_=fn_tt_tt_1,111,R,2002,6.7,1.85,605
Sylvio Tabet,Michael Berryman,Beastmaster 2: Through the Portal of Time ,2281,Marc Singer,2,http://www.imdb.com/title/tt0101412/?ref_=fn_tt_tt_1,16,PG-13,1991,3.8,1.85,125
Rick Bieber,Aidan Quinn,The 5th Quarter ,1245,Sammy Nagi Njuguna,2,http://www.imdb.com/title/tt1130964/?ref_=fn_tt_tt_1,29,PG,2010,5.7,1.85,0
Claude Chabrol,Benoît Magimel,The Flower of Evil ,2591,Mélanie Doutey,5,http://www.imdb.com/title/tt0322289/?ref_=fn_tt_tt_1,36,R,2003,6.6,1.66,52
Shana Feste,Jennifer Ehle,The Greatest ,7394,Cara Seymour,2,http://www.imdb.com/title/tt1226232/?ref_=fn_tt_tt_1,50,R,2009,6.7,2.35,0
Wayne Wang,Bingbing Li,Snow Flower and the Secret Fan ,3024,Ji-hyun Jun,0,http://www.imdb.com/title/tt1541995/?ref_=fn_tt_tt_1,22,PG-13,2011,6.1,2.35,0
Joey Lauren Adams,Tim Blake Nelson,Come Early Morning ,2330,Ritchie Montgomery,0,http://www.imdb.com/title/tt0457308/?ref_=fn_tt_tt_1,29,R,2006,6.2,1.85,224
Peter Cattaneo,James Nesbitt,Lucky Break ,1940,Peter McNamara,0,http://www.imdb.com/title/tt0246134/?ref_=fn_tt_tt_1,34,PG-13,2001,6.2,2.35,30
Fred Zinnemann,Meryl Streep,Julia ,6454,Vanessa Redgrave,2,http://www.imdb.com/title/tt0076245/?ref_=fn_tt_tt_1,44,PG,1977,7.4,1.85,733
S.R. Bindler,Matthew McConaughey,Surfer, Dude ,7367,Sarah Wright,0,http://www.imdb.com/title/tt0976247/?ref_=fn_tt_tt_1,37,R,2008,4.7,1.85,850
Tony Kaye,Noam Chomsky,Lake of Fire ,2143,Bill Baird,0,http://www.imdb.com/title/tt0841119/?ref_=fn_tt_tt_1,29,Unrated,2006,8.3,,570
Greg Marcks,Henry Thomas,11:14 ,38273,Shawn Hatosy,1,http://www.imdb.com/title/tt0331811/?ref_=fn_tt_tt_1,133,R,2003,7.2,1.85,0
Perry Lang,Catherine Bell,Men of War ,2989,Tim Guinee,1,http://www.imdb.com/title/tt0110490/?ref_=fn_tt_tt_1,38,R,1994,5.8,2.35,176
Jake Goldberger,Pruitt Taylor Vince,Don McKay ,2050,Robert Wahlberg,1,http://www.imdb.com/title/tt1281374/?ref_=fn_tt_tt_1,17,R,2009,5.9,1.85,275
Stefan Ruzowitzky,Charlie Hunnam,Deadfall ,32512,Sissy Spacek,1,http://www.imdb.com/title/tt1667310/?ref_=fn_tt_tt_1,86,R,2012,6.3,2.35,0
Vic Sarin,Connie Nielsen,A Shine of Rainbows ,1696,John Bell,2,http://www.imdb.com/title/tt1014774/?ref_=fn_tt_tt_1,19,PG,2009,7.2,2.35,1000
William Kaufman,Drew Waters,The Hit List ,10196,Cole Hauser,1,http://www.imdb.com/title/tt1575694/?ref_=fn_tt_tt_1,39,R,2011,5.4,1.85,0
,Romola Garai,Emma             ,10388,Rupert Evans,1,http://www.imdb.com/title/tt1366312/?ref_=fn_tt_tt_1,50,,,8.2,1.78,0
David Cronenberg,Debbie Harry,Videodrome ,60522,Reiner Schwarz,0,http://www.imdb.com/title/tt0086541/?ref_=fn_tt_tt_1,228,R,1983,7.3,1.85,0
Cédric Klapisch,Romain Duris,L'auberge espagnole ,34383,Iddo Goldberg,0,http://www.imdb.com/title/tt0283900/?ref_=fn_tt_tt_1,149,R,2002,7.3,1.85,0
Kate Barker-Froyland,Anne Hathaway,Song One ,6797,Li Jun Li,1,http://www.imdb.com/title/tt2182972/?ref_=fn_tt_tt_1,21,PG-13,2014,5.8,,0
Barbet Schroeder,Ryan Gosling,Murder by Numbers ,43575,Agnes Bruckner,0,http://www.imdb.com/title/tt0264935/?ref_=fn_tt_tt_1,302,R,2002,6.1,1.85,0
Martin Koolhoven,Yorick van Wageningen,Winter in Wartime ,9230,Martijn Lakemeier,1,http://www.imdb.com/title/tt0795441/?ref_=fn_tt_tt_1,37,R,2008,7.1,2.35,0
Charles Matthau,Billy Burke,Freaky Deaky ,6741,Bill Duke,0,http://www.imdb.com/title/tt0938305/?ref_=fn_tt_tt_1,11,R,2012,6.5,,0
