director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,gross,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,language,content_rating,budget,imdb_score,aspect_ratio
Jeff Nichols,368,130,337,820,21589307,13960,Sam Shepard,1,14 year old|boat|bounty hunter|boy|river,http://www.imdb.com/title/tt1935179/?ref_=fn_tt_tt_1,English,PG-13,10000000,7.4,2.35
Robert Ben Garant,89,84,134,307,20339754,2737,Carlos Alazraqui,2,beach|police|sex scene|spring break|vomiting,http://www.imdb.com/title/tt0499554/?ref_=fn_tt_tt_1,English,R,10000000,5.9,1.85
Morgan Spurlock,83,106,293,547,28873374,2787,Niall Horan,11,3 dimensional|concert footage|englishman abroad|reference to keith richards|reference to the doors,http://www.imdb.com/title/tt2515086/?ref_=fn_tt_tt_1,English,PG,10000000,4.1,1.85
Neal Brennan,83,89,23,503,15102127,3973,Charles Napier,5,fourth of july|looking at one's self in a mirror|mirror|sex toy|young version of character,http://www.imdb.com/title/tt1092633/?ref_=fn_tt_tt_1,English,R,,5.8,1.85
Tuck Tucker,33,76,14,636,13684949,3752,Paul Sorvino,0,castle thunder|document|neighborhood|punctuation in title|villain arrested,http://www.imdb.com/title/tt0314166/?ref_=fn_tt_tt_1,English,PG,3000000,5.9,1.85
Simon Curtis,386,99,64,918,14597405,17204,Julia Ormond,1,actress|assistant director|blonde bombshell|movie star|wardrobe,http://www.imdb.com/title/tt1655420/?ref_=fn_tt_tt_1,English,R,6400000,7.0,2.35
Richard Shepard,191,96,47,442,12570442,4053,Hope Davis,0,bar|hitman|luck|mexico|mexico city,http://www.imdb.com/title/tt0365485/?ref_=fn_tt_tt_1,English,R,10000000,6.8,2.35
Theodore Witcher,16,104,28,582,12514138,3871,Larenz Tate,0,african american|cult film|ex boyfriend|middle class|sex,http://www.imdb.com/title/tt0119572/?ref_=fn_tt_tt_1,English,R,10000000,7.4,1.85
Joel Edgerton,297,108,0,458,43771291,3215,Wendell Pierce,1,compulsive liar|fired from a job|gift|rape|substance abuse,http://www.imdb.com/title/tt4178092/?ref_=fn_tt_tt_1,English,R,5000000,7.1,2.35
Jim Hanon,47,108,2,30,11703287,1058,Jack Guzman,3,death|missionary|spear|speared to death|tribe,http://www.imdb.com/title/tt0399862/?ref_=fn_tt_tt_1,English,PG-13,10000000,7.0,2.35
Tommy O'Haver,63,87,13,869,11560259,22485,Carmen Electra,1,basketball|dancer|high school|love triangle|shakespeare's a midsummer night's dream,http://www.imdb.com/title/tt0192071/?ref_=fn_tt_tt_1,English,PG-13,22000000,5.8,2.35
Mike Judge,144,89,406,759,10824921,3462,Diedrich Bader,0,boss|computer|downsizing|neighbor|office,http://www.imdb.com/title/tt0151804/?ref_=fn_tt_tt_1,English,R,10000000,7.8,1.85
Michael Patrick Jann,77,97,31,551,10561238,6388,Ellen Barkin,0,beauty pageant|blonde|cheerleader uniform|small town|upskirt,http://www.imdb.com/title/tt0157503/?ref_=fn_tt_tt_1,English,PG-13,10000000,6.5,1.85
Tim Burton,325,106,13000,309,14479776,12418,Jon Polito,3,1950s|abusive husband|artist|painting|secret,http://www.imdb.com/title/tt1126590/?ref_=fn_tt_tt_1,English,PG-13,10000000,7.0,1.85
Peter Berg,100,100,532,711,9801782,6046,Jeanne Tripplehorn,0,bachelor party|breasts|friend|prostitute|wedding,http://www.imdb.com/title/tt0124198/?ref_=fn_tt_tt_1,English,R,10000000,6.3,1.85
Joe Nussbaum,52,89,18,2000,8070311,13626,Hunter Parrish,9,best friend|party|rival|scavenger hunt|sleepover,http://www.imdb.com/title/tt0368975/?ref_=fn_tt_tt_1,English,PG,10000000,5.3,1.85
Brian De Palma,98,114,0,298,,1856,Gregg Henry,0,actor|neighbor|police|thief|tunnel,http://www.imdb.com/title/tt0086984/?ref_=fn_tt_tt_1,English,R,10000000,6.8,1.85
Jorma Taccone,163,95,434,472,8460995,2618,Powers Boothe,3,colonel|lieutenant|nuclear warhead|team|washington d.c.,http://www.imdb.com/title/tt1470023/?ref_=fn_tt_tt_1,English,R,10000000,5.5,2.35
Stephen Frears,137,97,350,250,8111360,1334,Sergi López,1,hotel|immigrant|nigerian|surgery|underwear,http://www.imdb.com/title/tt0301199/?ref_=fn_tt_tt_1,English,R,10000000,7.4,1.85
Elizabeth Banks,180,94,0,3000,8828771,41059,Seth MacFarlane,10,awkwardness|embarrassment|gross out|irreverence|shame,http://www.imdb.com/title/tt1333125/?ref_=fn_tt_tt_1,English,R,6000000,4.3,1.85
Florian Henckel von Donnersmarck,321,103,207,3000,67631157,55175,Rufus Sewell,0,police surveillance|surveillance van|tailing a suspect|tourist|venice italy,http://www.imdb.com/title/tt1243957/?ref_=fn_tt_tt_1,English,PG-13,100000000,6.0,2.35
Jeff Lowell,100,95,4,655,7563670,3651,Wendi McLendon-Covey,0,accident|diary|ghost|psychic|veterinarian,http://www.imdb.com/title/tt0785007/?ref_=fn_tt_tt_1,English,PG-13,10000000,5.2,2.35
Lorene Scafaria,265,101,63,172,6619173,7747,Rob Huebel,2,candle|end of the world|letter|record|road trip,http://www.imdb.com/title/tt1307068/?ref_=fn_tt_tt_1,English,R,10000000,6.7,2.35
Miguel Arteta,212,87,44,727,6857503,4769,Alia Shawkat,1,award|cedar rapids iowa|convention|hotel|insurance,http://www.imdb.com/title/tt1477837/?ref_=fn_tt_tt_1,English,R,,6.3,1.85
,68,40,,476,,2198,Tamara Taylor,2,anthropologist|fbi|fbi agent|forensics|investigation,http://www.imdb.com/title/tt0460627/?ref_=fn_tt_tt_1,English,TV-14,,7.9,1.78
Tony Kaye,162,101,194,602,6712241,3858,Stacy Keach,2,curb stomping|neo nazi|prison|son dislikes mother's boyfriend|white supremacist,http://www.imdb.com/title/tt0120586/?ref_=fn_tt_tt_1,English,R,7500000,8.6,1.85
Marcus Dunstan,147,82,87,444,6842058,3818,Lee Tergesen,0,booby trap|brainwashing|mercenary|serial killer|trap,http://www.imdb.com/title/tt1748227/?ref_=fn_tt_tt_1,English,R,10000000,6.1,2.35
Timothy Björklund,33,74,0,719,6491350,5139,Jerry Stiller,0,dog|florida|mad scientist|school|teacher,http://www.imdb.com/title/tt0350194/?ref_=fn_tt_tt_1,English,PG,10000000,5.8,1.85
François Girard,94,130,63,2,9473382,29,Carlo Cecchi,3,auction|montreal|secret|violin|violinist,http://www.imdb.com/title/tt0120802/?ref_=fn_tt_tt_1,French,R,10000000,7.7,1.85
David Lynch,143,112,0,201,6197866,1351,Everett McGill,0,cane|iowa|lawn mower|tractor|wisconsin,http://www.imdb.com/title/tt0166896/?ref_=fn_tt_tt_1,English,G,10000000,8.0,2.35
Scott Kalvert,38,96,9,934,6044618,26961,Frankie Muniz,1,1950s|drug overdose|gang|gang war|new york city,http://www.imdb.com/title/tt0231448/?ref_=fn_tt_tt_1,English,R,10000000,5.6,2.35
Jason Bateman,126,89,0,322,7764027,2061,Patricia Belcher,0,directed by star|indian american|spelling|spelling bee|two word title,http://www.imdb.com/title/tt2170299/?ref_=fn_tt_tt_1,English,R,10000000,6.7,2.35
David Schwimmer,168,100,0,231,5998971,1022,India de Beaufort,0,blister|gym|marathon|training|wedding,http://www.imdb.com/title/tt0425413/?ref_=fn_tt_tt_1,English,PG-13,,6.6,2.35
Allan Arkush,19,78,13,378,,2791,Christopher Guest,0,escape|fish out of water|love|robot|servant,http://www.imdb.com/title/tt0082507/?ref_=fn_tt_tt_1,English,PG,10000000,4.2,2.35
Mike Binder,91,121,57,664,21569041,3745,Jillian Estell,2,color in title,http://www.imdb.com/title/tt2883434/?ref_=fn_tt_tt_1,English,PG-13,9000000,6.6,2.35
Eric Bross,46,85,49,401,4356743,2446,Dave Foley,2,based on short film|chicago illinois|el train|love|train,http://www.imdb.com/title/tt0279286/?ref_=fn_tt_tt_1,English,PG,16000000,4.1,1.85
Werner Herzog,198,120,0,294,5484375,24270,François Chau,0,bombing|guard|jungle|laos|prisoner,http://www.imdb.com/title/tt0462504/?ref_=fn_tt_tt_1,English,PG-13,10000000,7.3,1.85
Dan Fogelman,139,106,102,970,5348317,18712,Melissa Benoist,0,entertainer|inspiration|lost opportunity|pregnant mother|rock star,http://www.imdb.com/title/tt1772288/?ref_=fn_tt_tt_1,English,R,10000000,7.1,
Jay Duplass,182,83,157,581,4244155,3374,Rae Dawn Chong,5,basement|errand|secret admirer|slacker|wrong number,http://www.imdb.com/title/tt1588334/?ref_=fn_tt_tt_1,English,R,10000000,6.5,1.85
Luca Guadagnino,181,120,64,72,5004648,474,Alba Rohrwacher,1,chef|friend|italy|restaurant|russian,http://www.imdb.com/title/tt1226236/?ref_=fn_tt_tt_1,Italian,R,10000000,7.0,1.85
John Putch,23,111,60,699,3333823,5262,Esai Morales,0,box office flop|critically bashed|government|industrialist|railroad,http://www.imdb.com/title/tt1985017/?ref_=fn_tt_tt_1,English,PG-13,10000000,5.5,2.35
Peter Medak,30,100,34,541,3275585,13160,Lena Olin,1,detective|police|protection|russian|sergeant,http://www.imdb.com/title/tt0107983/?ref_=fn_tt_tt_1,English,R,11500000,6.6,1.85
Steven Soderbergh,111,89,0,132,3193102,1335,William Lucking,0,daughter|englishman|ex con|revenge|young woman,http://www.imdb.com/title/tt0165854/?ref_=fn_tt_tt_1,English,R,9000000,7.1,1.85
Paul Haggis,287,115,549,911,54557348,5732,Jennifer Esposito,0,race relations|racism|racist|social problem|stereotype,http://www.imdb.com/title/tt0375679/?ref_=fn_tt_tt_1,English,R,6500000,7.9,2.35
Terence Davies,96,135,25,553,3041803,2735,Elizabeth McGovern,0,high society|love|money|reputation|wealth,http://www.imdb.com/title/tt0200720/?ref_=fn_tt_tt_1,English,PG,10000000,7.1,2.35
Harley Cokeliss,27,92,4,311,3060858,1891,Dennis Burkley,4,assassin|box office flop|cia|farmer|power,http://www.imdb.com/title/tt0093483/?ref_=fn_tt_tt_1,English,R,10000000,5.6,1.85
Victor Salva,44,120,108,400,1055654,2673,Agnes Bruckner,1,college|college athlete|comeback|gymnast|olympics,http://www.imdb.com/title/tt0438315/?ref_=fn_tt_tt_1,English,PG-13,10000000,7.3,2.35
Tom Brady,49,97,105,269,2331318,2603,Nicholas Turturro,1,diner|eating a banana|masturbation|porn star|shooting a pornographic movie,http://www.imdb.com/title/tt1411664/?ref_=fn_tt_tt_1,English,R,10000000,3.3,1.85
Spike Lee,57,135,0,851,2185266,4266,Jada Pinkett Smith,0,actor|minstrel show|protest|success|writer,http://www.imdb.com/title/tt0215545/?ref_=fn_tt_tt_1,English,R,10000000,6.5,1.85
Jason Zada,185,93,4,4,26583369,578,Gen Seto,1,forest|japan|suicide|suicide forest|supernatural,http://www.imdb.com/title/tt3387542/?ref_=fn_tt_tt_1,English,PG-13,10000000,4.8,1.85
Franklin J. Schaffner,2,118,76,249,800000,2079,John Gielgud,0,bat|curse|egyptologist|mummy|murder,http://www.imdb.com/title/tt0083113/?ref_=fn_tt_tt_1,English,PG,14000000,5.2,2.35
Noah Baumbach,270,97,387,64,7574066,6322,Dree Hemingway,2,documentary filmmaker|documentary filmmaking|father in law|generation z|hipster,http://www.imdb.com/title/tt1791682/?ref_=fn_tt_tt_1,English,R,10000000,6.3,1.85
Chris Weitz,94,98,129,221,1754319,2214,Robert Peters,0,gang|gardener|money|police|truck,http://www.imdb.com/title/tt1554091/?ref_=fn_tt_tt_1,English,PG-13,10000000,7.2,1.85
David Cronenberg,157,98,0,258,1641788,1381,Lynn Redgrave,0,halfway house|key|reality|schizophrenia|spider,http://www.imdb.com/title/tt0278731/?ref_=fn_tt_tt_1,English,R,8000000,6.8,1.78
Eric Blakeney,49,101,3,826,1631839,17665,Mitch Pileggi,0,colombian|enema|group therapy|murder|nurse,http://www.imdb.com/title/tt0171356/?ref_=fn_tt_tt_1,English,R,10000000,5.7,1.85
Douglas McGrath,80,132,41,1000,1309849,29177,Jim Broadbent,1,boy|boys' school|death|friend|orphan,http://www.imdb.com/title/tt0309912/?ref_=fn_tt_tt_1,English,PG,10000000,7.2,2.35
Ariel Vromen,221,106,34,683,1939441,23187,Robert Davi,1,based on true story|contract killer|crime family|murder of a girl|serial murderer,http://www.imdb.com/title/tt1491044/?ref_=fn_tt_tt_1,English,R,10000000,6.9,1.85
,53,55,,2,447093,25,Olgierd Lukaszewicz,0,meaning of life|moral challenge|morality|search for meaning|ten commandments,http://www.imdb.com/title/tt0092337/?ref_=fn_tt_tt_1,Polish,TV-MA,,9.1,1.33
Rakesh Roshan,20,168,53,45,,616,Sharat Saxena,0,breaking the fourth wall|breaking the fourth wall by talking to the audience|computer|mask|singapore,http://www.imdb.com/title/tt0432637/?ref_=fn_tt_tt_1,Hindi,Not Rated,10000000,6.3,2.35
John Waters,90,87,0,503,1276984,3059,Kevin Nealon,2,actress|drive in|female protagonist|movie star|woman shot in the forehead,http://www.imdb.com/title/tt0173716/?ref_=fn_tt_tt_1,English,R,10000000,6.2,1.85
William Friedkin,376,98,607,251,1987762,11853,Carol Sutton,0,female nudity|female pubic hair|lingerie|neo noir|pubic hair,http://www.imdb.com/title/tt1726669/?ref_=fn_tt_tt_1,English,R,11000000,6.7,1.85
Derrick Borte,144,96,17,688,1474508,4607,Robert Pralgo,4,envy|fake family|gadget|materialism|unhappy marriage,http://www.imdb.com/title/tt1285309/?ref_=fn_tt_tt_1,English,R,5000000,6.5,2.35
Richard Kwietniowski,82,104,23,232,1011054,23513,Maury Chaykin,1,bank|bank fraud|bank manager|gambling|toronto,http://www.imdb.com/title/tt0285861/?ref_=fn_tt_tt_1,English,R,10000000,7.2,2.35
Bob Odenkirk,51,93,0,622,900926,3307,Will Forte,2,antarctica|coma|neighbor|phd|pregnancy,http://www.imdb.com/title/tt0784972/?ref_=fn_tt_tt_1,English,R,10000000,5.3,1.85
Kar-Wai Wong,192,95,0,20,866778,20364,Adriane Lenox,3,blueberry pie|diner|nevada|new york city|pie,http://www.imdb.com/title/tt0765120/?ref_=fn_tt_tt_1,English,PG-13,10000000,6.7,2.35
John Turturro,36,119,0,54,836641,1585,George DiCenzo,0,critic|new york|new york city|playwright|theater critic,http://www.imdb.com/title/tt0120709/?ref_=fn_tt_tt_1,English,R,,6.2,1.85
Guy Ritchie,71,89,0,119,598645,2006,David Thornton,0,island|sailor|storm|stranded|vacation,http://www.imdb.com/title/tt0291502/?ref_=fn_tt_tt_1,English,R,10000000,3.6,1.85
Joshua Seftel,79,107,0,91,578527,988,Ned Bellamy,3,assassin|corporation|pop star|reporter|satire,http://www.imdb.com/title/tt0884224/?ref_=fn_tt_tt_1,English,R,10000000,5.7,1.78
Stephen Chow,246,85,0,51,488872,700,Kwok-Kwan Chan,2,cult film|kung fu|martial arts|shaolin|soccer,http://www.imdb.com/title/tt0286112/?ref_=fn_tt_tt_1,Cantonese,PG,10000000,7.3,1.85
Vincent Gallo,115,93,787,0,365734,883,Anna Vareschi,0,boyfriend girlfriend relationship|erection|female frontal nudity|gang rape|prostitute,http://www.imdb.com/title/tt0330099/?ref_=fn_tt_tt_1,English,Not Rated,10000000,5.0,1.66
Claude Chabrol,34,101,324,28,231417,1256,Michel Serrault,0,con|con artist|money|scam|sils maria,http://www.imdb.com/title/tt0120018/?ref_=fn_tt_tt_1,French,,60000000,6.6,1.66
Jon Stewart,129,103,593,241,3093491,1283,Haluk Bilginer,0,based on true story|hijab|journalism|prison|reference to mahmoud ahmedinejad,http://www.imdb.com/title/tt2752688/?ref_=fn_tt_tt_1,English,R,5000000,6.6,1.85
Bigas Luna,22,101,163,34,244465,1019,Romane Bohringer,1,foundry|foundry worker|french|friend|titanic,http://www.imdb.com/title/tt0129923/?ref_=fn_tt_tt_1,French,,,6.8,2.35
Ralph Fiennes,196,123,0,131,756452,18652,Lubna Azabal,0,modern day adaptation|reference to william shakespeare|shakespeare in modern dress|shakespeare play|shakespeare's coriolanus,http://www.imdb.com/title/tt1372686/?ref_=fn_tt_tt_1,English,R,,6.2,2.35
Dan Harris,73,111,24,83,228524,768,Larry Fessenden,2,cat|christmas song|lawn mowing|leave of absence|medication,http://www.imdb.com/title/tt0373024/?ref_=fn_tt_tt_1,English,R,4000000,7.3,2.35
Mel Smith,43,86,302,428,226792,3049,Mary McCormack,2,attempted murder|blackmail|diver's watch|nurse|satire,http://www.imdb.com/title/tt0253126/?ref_=fn_tt_tt_1,English,R,10000000,6.2,1.85
Bobcat Goldthwait,129,99,800,334,221210,50542,Henry Simmons,1,black comedy|fictional talk show|high school teacher|phony suicide note|teacher,http://www.imdb.com/title/tt1262981/?ref_=fn_tt_tt_1,English,R,,6.9,1.85
Christopher Smith,200,90,76,345,136432,2217,Laura Harris,0,blood splatter|eastern europe|female nudity|pine forest|team building,http://www.imdb.com/title/tt0464196/?ref_=fn_tt_tt_1,English,R,5000000,6.6,1.85
Stuart Gordon,79,82,216,885,131617,5761,Jeffrey Combs,1,bipolar disorder|sodomy|stabbing|street life|violence,http://www.imdb.com/title/tt0443496/?ref_=fn_tt_tt_1,English,R,10000000,6.3,1.85
Jake Scott,112,110,26,146,152857,18236,Kerry Cahill,3,businessman|prostitute|street|stripper|travel,http://www.imdb.com/title/tt1183923/?ref_=fn_tt_tt_1,English,R,,7.0,1.85
Alan Metter,17,83,3,421,126247,17469,G.W. Bailey,0,captain|commandant|mafia|russian mafia|security system,http://www.imdb.com/title/tt0110857/?ref_=fn_tt_tt_1,English,PG,6200000,3.3,1.85
Jeb Stuart,20,128,11,553,82739,4579,Lee Norris,0,based on autobiography|based on novel|based on true story|murder|racism,http://www.imdb.com/title/tt1210039/?ref_=fn_tt_tt_1,English,PG-13,,6.7,2.35
Rafa Lara,12,125,21,36,169379,221,William Miller,1,,http://www.imdb.com/title/tt2553908/?ref_=fn_tt_tt_1,Spanish,R,10000000,6.2,
Michael Radford,59,97,53,499,,3465,James Brolin,0,apartment|death of protagonist|follow that car|la dolce vita|love,http://www.imdb.com/title/tt2113659/?ref_=fn_tt_tt_1,English,PG-13,10000000,6.5,2.35
Arthur Hiller,29,86,71,385,15447,2655,Ryan O'Neal,0,box office flop|critically bashed|director|hollywood|mockumentary,http://www.imdb.com/title/tt0118577/?ref_=fn_tt_tt_1,English,R,10000000,3.5,1.85
Michael Meredith,23,91,7,875,19348,16118,Ted Danson,2,american south|baseball|farmland|motel|road trip,http://www.imdb.com/title/tt1007018/?ref_=fn_tt_tt_1,English,PG-13,10000000,5.5,2.35
Julio DePietro,22,90,0,617,100503,3124,Aaron Yoo,2,book club|cheating boyfriend|job promotion|manhattan new york city|new york city,http://www.imdb.com/title/tt1247662/?ref_=fn_tt_tt_1,English,R,8000000,5.9,1.85
Katherine Dieckmann,43,90,8,495,92900,3146,Anthony Edwards,1,birthday|birthday party|delivery man|mother|neighbor,http://www.imdb.com/title/tt1220220/?ref_=fn_tt_tt_1,English,PG-13,5000000,4.7,1.85
William Dear,16,94,50,422,140987,2519,Sandra Echeverría,3,,http://www.imdb.com/title/tt1128071/?ref_=fn_tt_tt_1,English,PG,,4.2,1.85
Kim Farrant,84,112,93,51,,285,Sean Keenan,0,australian|desert|mother daughter relationship|mother son relationship|promiscuity,http://www.imdb.com/title/tt2325977/?ref_=fn_tt_tt_1,English,R,10000000,5.2,2.39
Marcus Raboy,4,85,7,240,,1936,Glenn Plummer,2,bigger dreams|concert promoter|hotel maid|pep talk|rap concert,http://www.imdb.com/title/tt1210071/?ref_=fn_tt_tt_1,English,R,,5.2,1.85
Scott Marshall,20,93,7,611,5561,4725,Larry Miller,1,boss|business|career|confidence|female protagonist,http://www.imdb.com/title/tt0887719/?ref_=fn_tt_tt_1,English,PG-13,10000000,3.9,1.85
Álex de la Iglesia,71,104,275,102,3607,940,Danny Sapani,4,landlady|lecture|murder|oxford university|symbol,http://www.imdb.com/title/tt0488604/?ref_=fn_tt_tt_1,English,R,10000000,6.1,2.35
Andrew Traucki,102,94,10,72,,375,Adrienne Pickering,0,boat|great white shark|killing an animal|shark|underwater,http://www.imdb.com/title/tt1320291/?ref_=fn_tt_tt_1,English,R,,5.8,2.35
Michael Clancy,27,85,0,742,70527,14656,Kelly Preston,6,dysfunctional family|family relationships|family reunion|funeral|twin,http://www.imdb.com/title/tt0349416/?ref_=fn_tt_tt_1,English,R,6500000,6.7,1.85
Patrick Lussier,62,99,71,126,,934,Adrian Holmes,0,angry spirit|aura|electronic voice phenomena|electronics|near death experience,http://www.imdb.com/title/tt0496436/?ref_=fn_tt_tt_1,English,PG-13,10000000,5.7,2.35
Robert Adetuyi,5,91,8,111,,964,Chase Armitage,0,,http://www.imdb.com/title/tt1568139/?ref_=fn_tt_tt_1,English,PG-13,10000000,4.5,2.35
Kari Skogland,76,117,13,415,,7637,Michael McElhatton,1,1980s|ira|near death experience|title directed by female|what happened to epilogue,http://www.imdb.com/title/tt1097643/?ref_=fn_tt_tt_1,English,R,6000000,6.9,2.35
Taedong Park,8,85,0,196,,2259,Amanda Troop,0,,http://www.imdb.com/title/tt2722786/?ref_=fn_tt_tt_1,English,,10000000,4.8,
Paul Schrader,75,106,261,520,,31325,Derek Jacobi,2,circus|dog|entertainer|holocaust|patient,http://www.imdb.com/title/tt0479341/?ref_=fn_tt_tt_1,English,R,10000000,6.3,2.35
Benedikt Erlingsson,66,81,4,5,11835,81,Sigríður María Egilsdóttir,0,barbed wire|barbed wire fence|horse|nature|snowstorm,http://www.imdb.com/title/tt3074732/?ref_=fn_tt_tt_1,Icelandic,,10000000,6.9,2.35
Gurinder Chadha,31,100,98,95,,2227,Shabana Azmi,1,afterlife|indian|murder|overweight woman|police,http://www.imdb.com/title/tt1319716/?ref_=fn_tt_tt_1,English,PG-13,10000000,5.4,2.35
Jason Connery,32,90,110,711,,3937,Jason London,4,desert|mercenary|priest|scientist|war veteran,http://www.imdb.com/title/tt1147687/?ref_=fn_tt_tt_1,English,R,10000000,3.8,1.85
Vic Sarin,17,116,24,46,,428,John Light,2,india|love|muslim|pakistan|sikh,http://www.imdb.com/title/tt0213985/?ref_=fn_tt_tt_1,English,R,10000000,7.0,2.35
Jim Issa,4,84,5,482,,2739,Jon Gries,5,,http://www.imdb.com/title/tt1070781/?ref_=fn_tt_tt_1,English,PG-13,10000000,5.2,
Jee-woon Kim,152,135,419,7,128486,569,Dal-su Oh,0,bounty hunter|manchuria|map|train|treasure,http://www.imdb.com/title/tt0901487/?ref_=fn_tt_tt_1,Korean,R,10000000,7.3,2.35
Douglas Aarniokoski,129,84,36,899,,4686,Kathleen Turner,0,carnage|female nudity|purple panties|sexual attraction|shaved labia,http://www.imdb.com/title/tt1913166/?ref_=fn_tt_tt_1,English,R,10000000,4.6,2.35
William Phillips,15,89,3,499,,2876,Dustin Milligan,1,blacksmith|bounty hunter|duel|gunslinger|wild west,http://www.imdb.com/title/tt1376195/?ref_=fn_tt_tt_1,English,,10000000,6.5,2.35
Greg Mottola,248,107,99,452,16025394,18983,Wendie Malick,6,amusement park|strong female character|summer job|teen movie|teenager,http://www.imdb.com/title/tt1091722/?ref_=fn_tt_tt_1,English,R,,6.8,1.85
Andy Garcia,52,144,0,195,2483955,1674,Enrique Murciano,0,1950s|cuba|cuban flag|fidel castro|havana cuba,http://www.imdb.com/title/tt0343996/?ref_=fn_tt_tt_1,English,R,9600000,6.7,1.85
Steve Carr,55,98,41,525,57176582,3939,Rolando Molina,1,african american|flashback|marijuana joint|porn magazine|suburb,http://www.imdb.com/title/tt0195945/?ref_=fn_tt_tt_1,English,R,9500000,6.1,1.85
Sarik Andreasyan,30,94,9,262,,9432,Akon,1,bank|critically bashed|heist|mechanic|prison,http://www.imdb.com/title/tt2923316/?ref_=fn_tt_tt_1,English,R,10000000,5.2,
Lewis Gilbert,130,117,43,244,43100000,2127,Desmond Llewelyn,0,faked death|japan|japanese|poison|secret headquarters,http://www.imdb.com/title/tt0062512/?ref_=fn_tt_tt_1,English,Approved,9500000,6.9,2.35
Julian Gilbey,29,102,7,1000,,35634,Malese Jow,7,credit card fraud|lesbian kiss|miami,http://www.imdb.com/title/tt2556874/?ref_=fn_tt_tt_1,English,R,10000000,6.0,
Michael Haneke,447,127,0,319,225377,1557,Jean-Louis Trintignant,1,aging|daughter|old couple|old love|stroke,http://www.imdb.com/title/tt1602620/?ref_=fn_tt_tt_1,French,PG-13,8900000,7.9,1.85
Gary Sherman,66,98,17,770,14114488,3827,Zelda Rubinstein,0,aunt niece relationship|brother sister relationship|building|father daughter relationship|mirror,http://www.imdb.com/title/tt0095889/?ref_=fn_tt_tt_1,English,PG-13,10500000,4.5,1.85
Valeri Milev,18,88,6,200,,1702,Jesse Garcia,0,after dark|after dark horrorfest|fictional tv news show|outbreak,http://www.imdb.com/title/tt1612319/?ref_=fn_tt_tt_1,English,R,9500000,5.1,1.78
Stanley Kramer,61,197,176,760,46300000,4109,Spencer Tracy,0,california|desert|dying words|money|race,http://www.imdb.com/title/tt0057193/?ref_=fn_tt_tt_1,English,Approved,9400000,7.6,2.76
Pedro Almodóvar,232,121,0,82,12899702,448,Antonio de la Torre,1,abusive father|child abuse|death|rape|secret,http://www.imdb.com/title/tt0441909/?ref_=fn_tt_tt_1,Spanish,R,,7.6,2.35
Gerald Potterton,62,90,0,123,,646,Don Francks,0,anthology|girl|heavy metal|secretary|segments,http://www.imdb.com/title/tt0082509/?ref_=fn_tt_tt_1,English,R,9300000,6.7,1.37
Jared Hess,106,89,100,327,113155,34398,Héctor Jiménez,7,amateur film|sexual harassment|sexual innuendo|small town|struggling parent,http://www.imdb.com/title/tt1161418/?ref_=fn_tt_tt_1,English,PG-13,,6.1,
Richard Loncraine,56,104,12,1000,2600000,23962,Kristin Scott Thomas,3,1930s|abuse of power|england|king|murder,http://www.imdb.com/title/tt0114279/?ref_=fn_tt_tt_1,English,R,6000000,7.5,2.35
David Hackl,48,94,43,129,,1586,Luisa D'Oliveira,4,bear|breasts|female nudity|grizzly|wilderness,http://www.imdb.com/title/tt1694021/?ref_=fn_tt_tt_1,English,R,10000000,5.3,1.85
Anurag Basu,41,90,116,303,1602466,1836,Kabir Bedi,0,casino|desert|love|suicide|tragic event,http://www.imdb.com/title/tt1198101/?ref_=fn_tt_tt_1,English,,600000000,6.0,
Lars von Trier,439,130,3000,844,3029870,15835,Charlotte Rampling,1,art director|breasts|depression|outdoor sex|riding a horse,http://www.imdb.com/title/tt1527186/?ref_=fn_tt_tt_1,English,R,7400000,7.1,2.35
Kriv Stenders,54,92,25,110,,1248,Luke Ford,0,australian|based on true events|dog|love|search,http://www.imdb.com/title/tt0803061/?ref_=fn_tt_tt_1,English,PG,8500000,7.5,2.35
Yash Chopra,50,176,147,1000,3047539,13762,Vic Waghorn,4,accident|army|bomb|indian army|love,http://www.imdb.com/title/tt2176013/?ref_=fn_tt_tt_1,Hindi,Not Rated,7217600,6.9,2.35
Ridley Scott,392,116,0,513,78900000,2524,Bolaji Badejo,0,alien|creature|future|outer space|spaceship,http://www.imdb.com/title/tt0078748/?ref_=fn_tt_tt_1,English,R,11000000,8.5,2.35
Tobe Hooper,277,88,365,177,30859000,1094,Marilyn Burns,0,cannibal|chainsaw|hitchhiker|independent film|leatherface,http://www.imdb.com/title/tt0072271/?ref_=fn_tt_tt_1,English,R,83532,7.5,1.85
Floria Sigismondi,259,106,50,741,3571735,21711,Johnny Lewis,2,band|box office flop|critically bashed|historically inaccurate|revisionist history,http://www.imdb.com/title/tt1017451/?ref_=fn_tt_tt_1,English,R,10000000,6.6,2.35
Norman Jewison,66,181,278,51,50000000,934,Rosalind Harris,0,immigration|jewish|pogrom|tradition|tradition versus modernity,http://www.imdb.com/title/tt0067093/?ref_=fn_tt_tt_1,English,G,9000000,8.0,2.35
