director_name,num_critic_for_reviews,director_facebook_likes,actor_3_facebook_likes,actor_2_name,gross,movie_title,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,movie_imdb_link,content_rating,budget,imdb_score,aspect_ratio,movie_facebook_likes
Roger Donaldson,172,79,537,Akie Kotabe,24984868,The November Man ,50056,3033,2,critically bashed|premarital sex|sex scene|sex standing up|stripper,http://www.imdb.com/title/tt2402157/?ref_=fn_tt_tt_1,R,15000000,6.3,2.35,0
Stephan Elliott,88,11,159,Patrick Bergin,16459004,Eye of the Beholder ,13320,1069,1,chicago illinois|false identity|femme fatale|new york city|spying,http://www.imdb.com/title/tt0120662/?ref_=fn_tt_tt_1,R,15000000,4.9,2.35,327
Kathryn Bigelow,388,0,383,Christian Camargo,15700000,The Hurt Locker ,332065,11114,0,army|bomb|dangerous job|death|iraq,http://www.imdb.com/title/tt0887912/?ref_=fn_tt_tt_1,R,15000000,7.6,1.85,16000
Mark L. Lester,45,73,563,George C. Scott,15100000,Firestarter ,22797,3444,1,captain|experiment|fire|psychic|secret government agency,http://www.imdb.com/title/tt0087262/?ref_=fn_tt_tt_1,R,15000000,6.0,2.35,0
Andrew Dominik,414,181,748,Sam Shepard,14938570,Killing Them Softly ,111625,14025,1,exploding car|hit by a car|poker game|punched in the face|shot to death,http://www.imdb.com/title/tt1764234/?ref_=fn_tt_tt_1,R,15000000,6.2,2.35,20000
Anton Corbijn,291,210,123,Nina Hoss,17237244,A Most Wanted Man ,57210,22574,3,intelligence|intelligence agency|secret service|surveillance camera|war on terror,http://www.imdb.com/title/tt1972571/?ref_=fn_tt_tt_1,R,15000000,6.8,2.35,13000
Tom Green,97,374,484,Harland Williams,14249005,Freddy Got Fingered ,39788,2689,1,animator|bamboo cane|cartoonist|sausage|slacker,http://www.imdb.com/title/tt0240515/?ref_=fn_tt_tt_1,R,15000000,4.5,1.85,0
Mike Nawrocki,37,12,23,Cam Clarke,12701880,The Pirates Who Don't Do Anything: A VeggieTales Movie ,2037,568,0,17th century|king|pirate|vegetable|waiter,http://www.imdb.com/title/tt0475998/?ref_=fn_tt_tt_1,G,15000000,5.7,1.85,175
Catherine Owens,68,0,44,The Edge,10353690,U2 3D ,2673,646,0,3d in title|digit in title|rock band|rocker|u2,http://www.imdb.com/title/tt0892375/?ref_=fn_tt_tt_1,G,,8.4,1.78,116
Douglas Aarniokoski,90,36,377,Adrian Paul,12801190,Highlander: Endgame ,16340,2764,1,battle|explosion|immortal|revenge|sequel to cult film,http://www.imdb.com/title/tt0144964/?ref_=fn_tt_tt_1,R,15000000,4.6,2.35,356
Bryan Barber,81,16,526,Faizon Love,12549485,Idlewild ,4603,3633,4,gangster|playing piano|song and dance|speakeasy|written and directed by cast member,http://www.imdb.com/title/tt0417225/?ref_=fn_tt_tt_1,R,15000000,6.2,2.35,489
Lone Scherfig,221,92,358,Jim Sturgess,13766014,One Day ,106111,17627,0,23 year time span|accidental death|best friend|loss of loved one|male female friendship,http://www.imdb.com/title/tt1563738/?ref_=fn_tt_tt_1,PG-13,15000000,7.0,2.35,49000
Drew Barrymore,230,0,727,Jimmy Fallon,13034417,Whip It ,55665,2633,1,beauty pageant|friend|pageant|roller derby|texas,http://www.imdb.com/title/tt1172233/?ref_=fn_tt_tt_1,PG-13,15000000,6.9,2.35,10000
Brian Koppelman,57,34,366,Tom Noonan,11632420,Knockaround Guys ,19768,15644,1,mob|mobster|money|montana|sheriff,http://www.imdb.com/title/tt0211465/?ref_=fn_tt_tt_1,R,,6.1,2.35,566
James Foley,119,164,308,Brian Van Holt,12212417,Confidence ,30643,1172,3,con|grifter|lap dance|organized crime|shot in the forehead,http://www.imdb.com/title/tt0310910/?ref_=fn_tt_tt_1,R,15000000,6.7,2.35,622
Albert Brooks,97,745,745,Bradley Whitford,11614236,The Muse ,9294,15209,2,directed by star|muse|satire|screenwriter|tiffany's,http://www.imdb.com/title/tt0164108/?ref_=fn_tt_tt_1,PG-13,15000000,5.6,1.37,251
Irwin Winkler,119,34,65,Keith Allen,13337299,De-Lovely ,9649,729,7,cole porter|composer|love|party|tears,http://www.imdb.com/title/tt0352277/?ref_=fn_tt_tt_1,PG-13,20000000,6.6,2.35,1000
Woody Allen,42,11000,563,Larry David,10763469,New York Stories ,13692,12685,0,12 year old|artist|hotel|three word title|written and directed by cast member,http://www.imdb.com/title/tt0097965/?ref_=fn_tt_tt_1,PG,15000000,6.4,1.85,877
Steve Gomer,24,9,47,Kyla Pratt,11144518,Barney's Great Adventure ,2724,1139,0,apostrophe in title|critically bashed|hit on the head with a ball|punctuation in title|tyrannosaurus rex,http://www.imdb.com/title/tt0120598/?ref_=fn_tt_tt_1,G,15000000,2.8,1.85,436
RZA,208,561,353,RZA,15608545,The Man with the Iron Fists ,53471,2377,3,blacksmith|box office flop|chop socky|critically bashed|village,http://www.imdb.com/title/tt1258972/?ref_=fn_tt_tt_1,R,15000000,5.4,2.35,29000
Dean Parisot,42,23,629,Jake Busey,10443316,Home Fries ,7159,2913,2,baby|infidelity|pilot|pregnant|waitress,http://www.imdb.com/title/tt0119304/?ref_=fn_tt_tt_1,PG-13,15000000,5.0,1.85,247
Mark Piznarski,44,4,670,Chris Klein,10494147,Here on Earth ,7403,3142,1,diner|love|private school|school|small town,http://www.imdb.com/title/tt0195778/?ref_=fn_tt_tt_1,PG-13,15000000,5.1,1.85,648
Terry Gilliam,230,0,1000,Bob Hoskins,9929000,Brazil ,152306,29475,0,black comedy|bureaucracy|dream|terrorist|wrongful arrest,http://www.imdb.com/title/tt0088846/?ref_=fn_tt_tt_1,R,15000000,8.0,1.85,16000
Sean McNamara,46,80,782,Rebecca De Mornay,10411980,Raise Your Voice ,22649,4676,0,music school|scholarship|small town|stage fright|three word title,http://www.imdb.com/title/tt0361696/?ref_=fn_tt_tt_1,PG,15000000,5.9,2.35,1000
,18,,186,Nicole de Boer,,The Dead Zone             ,7122,981,1,psychic|psychic power|psychometry|spin off|supernatural power,http://www.imdb.com/title/tt0281432/?ref_=fn_tt_tt_1,TV-14,,7.5,,576
Joel Coen,249,0,12000,Jeff Bridges,17439163,The Big Lebowski ,537419,47728,1,death|drug|nihilism|rug|white russian,http://www.imdb.com/title/tt0118715/?ref_=fn_tt_tt_1,R,15000000,8.2,1.85,35000
Craig Brewer,197,153,539,Michael Raymond-James,9396487,Black Snake Moan ,52421,5012,0,breasts|nipples visible through clothing|nudity|rear entry sex|white panties,http://www.imdb.com/title/tt0462200/?ref_=fn_tt_tt_1,R,15000000,7.0,2.35,0
Ron Shelton,71,41,274,Dash Mihok,9059588,Dark Blue ,17261,1873,1,corrupt|criminal|investigation|lapd|police,http://www.imdb.com/title/tt0279331/?ref_=fn_tt_tt_1,R,15000000,6.6,2.35,455
Michael Winterbottom,190,187,254,Archie Panjabi,9172810,A Mighty Heart ,24150,12178,0,fbi|journalist|missing|pakistan|reporter,http://www.imdb.com/title/tt0829459/?ref_=fn_tt_tt_1,R,16000000,6.7,2.35,923
David Raynr,50,9,612,Jodi Lyn O'Keefe,8735529,Whatever It Takes ,8055,13524,4,male objectification|manipulative behavior|modern day adaptation|narcissistic woman|promiscuous woman,http://www.imdb.com/title/tt0202402/?ref_=fn_tt_tt_1,PG-13,15000000,5.5,1.85,816
Mort Nathan,63,2,461,Lin Shaye,8586376,Boat Trip ,26598,3161,4,gay|hot air balloon|rejecting a marriage proposal|talking to a dog|vomiting on someone,http://www.imdb.com/title/tt0285462/?ref_=fn_tt_tt_1,R,20000000,4.9,1.85,1000
Oliver Parker,104,32,692,Tom Wilkinson,8378141,The Importance of Being Earnest ,18966,16502,5,comedy of manners|false identity|farce|love|period drama,http://www.imdb.com/title/tt0278500/?ref_=fn_tt_tt_1,PG,15000000,6.9,2.35,0
Dan Curtis,,45,224,Campbell Scott,,The Love Letter ,1465,2166,1,antique|desk|letter|love|time travel,http://www.imdb.com/title/tt0140340/?ref_=fn_tt_tt_1,Unrated,,7.4,1.33,515
Wil Shriner,49,6,596,Neil Flynn,8080116,Hoot ,6562,10732,0,fight|florida|montana|owl|school,http://www.imdb.com/title/tt0453494/?ref_=fn_tt_tt_1,PG,15000000,5.6,1.85,647
Martin McDonagh,300,454,39,Anna Madeley,7757130,In Bruges ,307639,173,1,bruges|bullet|hope|irish|tourist,http://www.imdb.com/title/tt0780536/?ref_=fn_tt_tt_1,R,15000000,8.0,2.35,32000
Tina Gordon Chism,43,24,426,S. Epatha Merkerson,9123834,Peeples ,4065,3322,6,african american,http://www.imdb.com/title/tt1699755/?ref_=fn_tt_tt_1,PG-13,15000000,5.3,2.35,0
Peter Cattaneo,132,11,1000,Bradley Cooper,6409206,The Rocker ,32311,33153,4,20 years later|drummer|hdtv|rock band|rock star,http://www.imdb.com/title/tt1031969/?ref_=fn_tt_tt_1,PG-13,15000000,6.2,1.85,0
Vicky Jenson,97,96,360,Zach Gilford,6373693,Post Grad ,11498,25637,1,graduation|graduation speech|title directed by female|tv studio|unemployment,http://www.imdb.com/title/tt1142433/?ref_=fn_tt_tt_1,PG-13,15000000,5.3,1.85,0
Gus Van Sant,242,835,363,Hal Holbrook,7556708,Promised Land ,30284,14544,1,corporate greed|corporation|natural gas|salesman|small town,http://www.imdb.com/title/tt2091473/?ref_=fn_tt_tt_1,R,15000000,6.6,1.85,10000
Woody Allen,218,11000,386,Michael McKean,5306447,Whatever Works ,58967,2717,1,atheist|limp|quantum mechanics|religion|runaway,http://www.imdb.com/title/tt1178663/?ref_=fn_tt_tt_1,PG-13,15000000,7.2,1.85,10000
Mary Lambert,49,52,275,Susan Ward,5217498,The In Crowd ,3668,2312,4,clique|country club|female protagonist|lip gloss|title directed by female,http://www.imdb.com/title/tt0163676/?ref_=fn_tt_tt_1,PG-13,15000000,4.6,1.85,157
Tommy Lee Jones,172,0,289,Dwight Yoakam,5023275,Three Burials ,34194,1627,2,cemetery|friend|journey|mexico|promise,http://www.imdb.com/title/tt0419294/?ref_=fn_tt_tt_1,R,15000000,7.5,2.35,0
Peter Kassovitz,68,0,693,Mark Margolis,4956401,Jakob the Liar ,12601,51657,2,german|ghetto|hope|nazi|radio,http://www.imdb.com/title/tt0120716/?ref_=fn_tt_tt_1,PG-13,15000000,6.5,1.85,0
Shane Black,223,1000,611,Corbin Bernsen,4235837,Kiss Kiss Bang Bang ,175962,23932,2,actor|detective sergeant|hotel|nightclub|thief,http://www.imdb.com/title/tt0373469/?ref_=fn_tt_tt_1,R,15000000,7.6,2.35,0
Rodman Flender,59,6,577,Fred Willard,4002955,Idle Hands ,33745,3654,0,breasts|female frontal nudity|nude woman murdered|slow motion scene|trailer home,http://www.imdb.com/title/tt0138510/?ref_=fn_tt_tt_1,R,20000000,6.2,1.85,0
David Lynch,252,0,669,Robert Forster,7219578,Mulholland Drive ,235992,8484,1,amnesia|car accident|female protagonist|lesbian sex|loss of memory,http://www.imdb.com/title/tt0166924/?ref_=fn_tt_tt_1,R,15000000,8.0,1.85,16000
Katja von Garnier,106,18,220,Agnes Bruckner,3525161,Blood and Chocolate ,15388,1675,0,colorado|love|murder|rocky mountains|werewolf,http://www.imdb.com/title/tt0397044/?ref_=fn_tt_tt_1,PG-13,,5.5,2.35,0
Woody Allen,223,11000,557,Naomi Watts,3247816,You Will Meet a Tall Dark Stranger ,36145,19310,0,call girl|charlatan|fortune teller|manuscript|writer,http://www.imdb.com/title/tt1182350/?ref_=fn_tt_tt_1,R,22000000,6.3,1.85,0
Mark Romanek,328,132,844,Charlie Rowe,2412045,Never Let Me Go ,109873,12867,0,boarding school|childhood|love|love triangle|organ donation,http://www.imdb.com/title/tt1334260/?ref_=fn_tt_tt_1,R,15000000,7.2,2.35,33000
,9,,527,Tom Hollander,,The Company             ,3828,3809,3,cia|mole|revolution|spy|ussr,http://www.imdb.com/title/tt0488352/?ref_=fn_tt_tt_1,,,7.9,1.78,733
Brad Anderson,150,122,25,Eduardo Noriega,2203641,Transsiberian ,42792,1252,0,35 mm digital camera|drugs|murder|train|travel,http://www.imdb.com/title/tt0800241/?ref_=fn_tt_tt_1,R,15000000,6.7,2.35,0
Michael Chapman,21,70,90,Pamela Reed,1953732,The Clan of the Cave Bear ,4996,1351,0,cave bear|cro magnon|neanderthal|survival|tradition,http://www.imdb.com/title/tt0090848/?ref_=fn_tt_tt_1,R,15000000,5.3,2.35,843
Antonio Banderas,28,0,617,Elizabeth Perkins,1954202,Crazy in Alabama ,5917,4834,0,abusive husband|alabama|boy|dream|sheriff,http://www.imdb.com/title/tt0142201/?ref_=fn_tt_tt_1,PG-13,15000000,6.3,2.35,391
Michael Haneke,250,0,287,Siobhan Fallon Hogan,1294640,Funny Games ,69569,6748,0,breaking the fourth wall|looking at the camera|remake|serial killer|violence,http://www.imdb.com/title/tt0808279/?ref_=fn_tt_tt_1,R,15000000,6.5,1.85,0
Khalil Sullins,17,5,46,Kalim Chandler,,Listening ,1933,527,0,divorce papers|fainting|mind control|playground|technology,http://www.imdb.com/title/tt3153582/?ref_=fn_tt_tt_1,,,5.6,2.35,708
Atom Egoyan,95,460,71,Elaine Cassidy,819852,Felicia's Journey ,6690,5426,0,caterer|catering|chef|friend|lawn mower,http://www.imdb.com/title/tt0165773/?ref_=fn_tt_tt_1,PG-13,,7.0,2.35,284
Fritz Lang,260,756,18,Gustav Fröhlich,26435,Metropolis ,111841,203,1,art deco|bible quote|dance|silent film|worker,http://www.imdb.com/title/tt0017136/?ref_=fn_tt_tt_1,Not Rated,6000000,8.3,1.33,12000
Pierre Morel,141,180,58,Cyril Raffaelli,1197786,District B13 ,55928,962,2,bomb|gang|police|sister|undercover cop,http://www.imdb.com/title/tt0414852/?ref_=fn_tt_tt_1,R,12000000,7.2,2.35,0
Gary Fleder,52,39,642,Bill Cobbs,529766,Things to Do in Denver When You're Dead ,22345,14889,2,death|finger gun|video message|what happened to epilogue|wheelchair,http://www.imdb.com/title/tt0114660/?ref_=fn_tt_tt_1,R,7000000,6.8,1.85,0
Hsiao-Hsien Hou,205,141,56,Chen Chang,613556,The Assassin ,9427,1172,1,black magic|china|love|refusal to kill|wuxia,http://www.imdb.com/title/tt3508840/?ref_=fn_tt_tt_1,Not Rated,15000000,6.4,1.37,0
Gregor Jordan,109,34,730,Scott Glenn,353743,Buffalo Soldiers ,20730,3578,1,berlin wall|germany|murder|soldier|specialist,http://www.imdb.com/title/tt0252299/?ref_=fn_tt_tt_1,R,15000000,6.9,2.35,664
Andrey Zvyagintsev,103,445,9,Vladimir Garin,502028,The Return ,31589,48,0,boy|photograph|return|russian|wilderness,http://www.imdb.com/title/tt0376968/?ref_=fn_tt_tt_1,Unrated,,8.0,1.85,0
Tony Jaa,110,0,7,Petchtai Wongkamlao,102055,Ong-bak 2 ,24570,134,0,cult film|elephant|jungle|martial arts|stylized violence,http://www.imdb.com/title/tt0785035/?ref_=fn_tt_tt_1,R,300000000,6.2,2.35,0
Neil Marshall,195,197,570,JJ Feild,122288,Centurion ,64777,15293,0,mushroom|mute|roman soldier|screaming|wood carving,http://www.imdb.com/title/tt1020558/?ref_=fn_tt_tt_1,R,,6.4,2.35,0
Russell Mulcahy,14,85,40,Gina Bellman,,Silent Trigger ,2699,1432,0,assassin|die hard scenario|rangefinder|soldier|veteran,http://www.imdb.com/title/tt0117653/?ref_=fn_tt_tt_1,R,9000000,5.6,2.35,154
Ryûhei Kitamura,177,129,1000,Brooke Shields,73548,The Midnight Meat Train ,47574,18639,0,butcher|girlfriend|mute character|photographer|subway,http://www.imdb.com/title/tt0805570/?ref_=fn_tt_tt_1,R,15000000,6.1,2.35,0
Darrell Roodt,17,36,2,Wendy Crewson,,Winnie Mandela ,609,801,2,character name in title|nelson mandela|one word title|reference to winnie mandela|south africa,http://www.imdb.com/title/tt1551641/?ref_=fn_tt_tt_1,R,15000000,6.0,,705
Dito Montiel,62,68,642,Al Pacino,28870,The Son of No One ,14280,32814,5,housing project|letter|man with glasses|murder|subjective camera,http://www.imdb.com/title/tt1535612/?ref_=fn_tt_tt_1,R,15000000,5.1,2.35,0
Stefan Ruzowitzky,19,24,125,Udo Kier,22723,All the Queen's Men ,2236,1732,1,apostrophe in title|behind enemy lines|box office flop|gay interest|punctuation in title,http://www.imdb.com/title/tt0252223/?ref_=fn_tt_tt_1,PG-13,25000000,4.5,2.35,193
Jake Paltrow,50,17,66,Gael Le Cornec,20380,The Good Night ,7519,1245,1,commercial|dream|dreaming|girl|new york city,http://www.imdb.com/title/tt0484111/?ref_=fn_tt_tt_1,R,15000000,5.9,1.85,445
Juraj Jakubisko,25,15,576,Hans Matheson,,Bathory: Countess of Blood ,3425,2528,1,bathory|countess|female protagonist|legend|virgin blood,http://www.imdb.com/title/tt0469640/?ref_=fn_tt_tt_1,R,,6.0,2.35,0
Anthony Silverston,39,0,912,Steve Buscemi,,Khumba ,4006,29488,0,herd|ostrich|waterhole|wildebeest|zebra,http://www.imdb.com/title/tt1487931/?ref_=fn_tt_tt_1,Not Rated,20000000,5.8,,0
Gabe Ibáñez,136,19,537,Robert Forster,,Automata ,41638,2829,0,child hitman|dystopia|future|robot|self repair,http://www.imdb.com/title/tt1971325/?ref_=fn_tt_tt_1,R,7000000,6.1,2.35,13000
Gerry Lively,26,93,51,Lucy Gaskell,,Dungeons & Dragons: Wrath of the Dragon God ,5018,363,0,combat|helmet|martial arts|medieval times|violence,http://www.imdb.com/title/tt0406728/?ref_=fn_tt_tt_1,Not Rated,15000000,4.9,1.78,473
Daniele Luchetti,4,6,50,Rodrigo De la Serna,,Chiamatemi Francesco - Il Papa della gente ,80,192,0,,http://www.imdb.com/title/tt3856124/?ref_=fn_tt_tt_1,,15000000,5.7,,18
Tung-Shing Yee,53,3,19,Daniel Wu,,Shinjuku Incident ,9177,996,4,chinese|gang|gratitude|immigrant|japan,http://www.imdb.com/title/tt1075419/?ref_=fn_tt_tt_1,R,15000000,7.1,2.35,821
Julien Temple,22,67,303,Dexter Fletcher,,Pandaemonium ,695,1585,1,betrayal|french revolution|friendship|poet|revolution,http://www.imdb.com/title/tt0210217/?ref_=fn_tt_tt_1,PG-13,15000000,6.6,,277
Harold Ramis,147,11000,512,Chris Elliott,70906973,Groundhog Day ,437418,15500,1,cult film|existentialism|groundhog day|time loop|trapped in a time loop,http://www.imdb.com/title/tt0107048/?ref_=fn_tt_tt_1,PG,14600000,8.1,1.85,38000
Gregory Jacobs,222,13,642,Channing Tatum,66009973,Magic Mike XXL ,38202,38963,3,male bonding|male friendship|male objectification|muscular|stripper,http://www.imdb.com/title/tt2268016/?ref_=fn_tt_tt_1,R,14800000,5.7,2.35,41000
Baz Luhrmann,106,1000,954,Harold Perrineau,46338728,Romeo + Juliet ,167750,33791,2,hawaiian shirt|love|shakespeare adaptation|shakespeare play|star crossed lovers,http://www.imdb.com/title/tt0117509/?ref_=fn_tt_tt_1,PG-13,14500000,6.8,2.35,10000
Gilles Paquet-Brenner,136,15,121,Aidan Quinn,7691700,Sarah's Key ,12937,2140,2,apartment|escape|jewish family|journalist|key,http://www.imdb.com/title/tt1668200/?ref_=fn_tt_tt_1,PG-13,10000000,7.5,2.35,0
Peter Cousens,5,5,124,David Rasche,,Freedom ,993,994,2,19th century|christian film|hymn|religion|slave,http://www.imdb.com/title/tt2584018/?ref_=fn_tt_tt_1,R,14500000,6.2,,998
Clint Eastwood,131,16000,638,Morgan Freeman,101157447,Unforgiven ,277505,28544,1,englishman|leaving flowers on a grave|one last job|reputation|visiting wife's grave,http://www.imdb.com/title/tt0105695/?ref_=fn_tt_tt_1,R,14400000,8.3,2.35,10000
Lars von Trier,140,3000,236,Jeremy Davies,74205,Manderlay ,18646,4211,1,cotton|female frontal nudity|flogging|gangster|slavery,http://www.imdb.com/title/tt0342735/?ref_=fn_tt_tt_1,Not Rated,14200000,7.4,2.35,1000
Danny Boyle,418,0,40,Saurabh Shukla,141319195,Slumdog Millionaire ,641997,820,0,cheating|falling from height|murder|non professional cast|slum,http://www.imdb.com/title/tt1010048/?ref_=fn_tt_tt_1,R,15000000,8.0,2.35,13000
Adrian Lyne,94,213,249,Lois Smith,156645693,Fatal Attraction ,55101,1639,0,borderline personality disorder|killing a pet|madame butterfly|new york|new york city,http://www.imdb.com/title/tt0093010/?ref_=fn_tt_tt_1,R,14000000,6.9,1.85,3000
Garry Marshall,82,0,700,Hector Elizondo,178406268,Pretty Woman ,213476,11135,2,businessman|falling in love with a prostitute|hotel|prostitute|rich man poor woman,http://www.imdb.com/title/tt0100405/?ref_=fn_tt_tt_1,R,14000000,6.9,1.85,11000
John Blanchard,,0,176,Andrea Martin,,Towering Inferno             ,10,1125,2,,http://www.imdb.com/title/tt0691996/?ref_=fn_tt_tt_1,,,9.5,1.33,0
John Cornell,32,5,57,Linda Kozlowski,109306210,Crocodile Dundee II ,44096,717,1,australia|australian|crime boss|crocodile|gangster,http://www.imdb.com/title/tt0092493/?ref_=fn_tt_tt_1,PG,15800000,5.5,2.35,489
Vidhu Vinod Chopra,22,34,277,Chris Marquette,,Broken Horses ,1554,2055,0,,http://www.imdb.com/title/tt2503954/?ref_=fn_tt_tt_1,R,15000000,5.7,2.35,0
Oliver Stone,72,0,560,Tom Berenger,70001698,Born on the Fourth of July ,76842,12098,0,desert|drunkenness|religious mother|strict mother|vietnam war,http://www.imdb.com/title/tt0096969/?ref_=fn_tt_tt_1,R,14000000,7.2,2.35,4000
Jon Turteltaub,39,226,496,Leon,68856263,Cool Runnings ,69733,2496,1,bobsled|coach|jamaica|olympic games|olympics,http://www.imdb.com/title/tt0106611/?ref_=fn_tt_tt_1,PG,15000000,6.9,1.85,0
Patrick Lussier,264,71,725,Jaime King,51527787,My Bloody Valentine ,45603,14159,0,coma|death|miner|valentine|valentine's day,http://www.imdb.com/title/tt1179891/?ref_=fn_tt_tt_1,R,15000000,5.5,1.85,0
Ole Bornedal,264,30,309,Madison Davenport,49122319,The Possession ,47169,2348,0,basketball coach|box|jewish|rabbi|yard sale,http://www.imdb.com/title/tt0431021/?ref_=fn_tt_tt_1,PG-13,14000000,5.9,2.35,17000
Ted Kotcheff,145,270,535,Brian Dennehy,,First Blood ,172493,15192,1,1980s|colonel|deputy|rambo|sheriff,http://www.imdb.com/title/tt0083944/?ref_=fn_tt_tt_1,R,14000000,7.7,2.35,0
Sylvain White,86,41,748,Laz Alonso,61356221,Stomp the Yard ,19505,3544,0,atlanta georgia|competition|dancer|death|fraternity,http://www.imdb.com/title/tt0775539/?ref_=fn_tt_tt_1,PG-13,14000000,5.2,2.35,0
Lewis Gilbert,112,43,238,Desmond Llewelyn,46800000,The Spy Who Loved Me ,76477,1326,2,1970s|cult film|official james bond series|submarine|world war three,http://www.imdb.com/title/tt0076752/?ref_=fn_tt_tt_1,PG,14000000,7.1,2.35,0
,17,,84,Steve Gonsalves,,Ghost Hunters             ,5563,552,0,ghost|paranormal|paranormal research|shaky cam,http://www.imdb.com/title/tt0426697/?ref_=fn_tt_tt_1,,,6.6,,373
Jamie Blanks,101,9,648,Loretta Devine,38048637,Urban Legend ,47814,3500,4,campus|death|friend|professor|urban legend,http://www.imdb.com/title/tt0146336/?ref_=fn_tt_tt_1,R,14000000,5.5,2.35,0
Stephen Frears,51,350,418,Peter Capaldi,34700000,Dangerous Liaisons ,52846,35501,2,catholic|corruption|emotional abuse|france|seduction,http://www.imdb.com/title/tt0094947/?ref_=fn_tt_tt_1,R,14000000,7.7,1.85,0
Tyler Perry,42,0,490,Phylicia Rashad,35010192,Good Deeds ,6352,2226,1,businessman|fight|mean brother|narrated by character|wordplay in title,http://www.imdb.com/title/tt1885265/?ref_=fn_tt_tt_1,PG-13,,5.4,2.35,0
Randal Kleiser,10,116,25,Klaus Maria Brandauer,34793160,White Fang ,15730,552,1,alaska|dog|friendship|gold|yukon,http://www.imdb.com/title/tt0103247/?ref_=fn_tt_tt_1,PG,14000000,6.7,1.85,0
Bruce McCulloch,43,54,636,Elaine Hendrix,30628981,Superstar ,15047,10792,1,dancing|orphan|school|special education|student,http://www.imdb.com/title/tt0167427/?ref_=fn_tt_tt_1,PG-13,14000000,5.0,1.85,2000
Phyllida Lloyd,331,58,583,Jim Broadbent,29959436,The Iron Lady ,82327,12894,1,british prime minister|female prime minister|politics|prime minister|told in flashback,http://www.imdb.com/title/tt1007029/?ref_=fn_tt_tt_1,PG-13,13000000,6.4,2.35,18000
Mike Nawrocki,38,12,8,Mike Nawrocki,25571351,Jonah: A VeggieTales Movie ,3135,49,0,anthropomorphism|pirate|pirate ship|tomato|whale,http://www.imdb.com/title/tt0298388/?ref_=fn_tt_tt_1,G,14000000,6.6,1.85,184
John Singleton,12,309,279,Khandi Alexander,27515786,Poetic Justice ,8904,1620,0,african american|mail carrier|poetry|postal worker|south central los angeles,http://www.imdb.com/title/tt0107840/?ref_=fn_tt_tt_1,R,14000000,5.9,1.85,0
Kevin Bray,40,10,111,Roger Guenveur Smith,25482931,All About the Benjamins ,9693,1421,2,black comedy|bounty hunter|diamond|machismo|money,http://www.imdb.com/title/tt0278295/?ref_=fn_tt_tt_1,R,14000000,5.7,2.35,530
Wes Craven,34,0,364,W. Earl Brown,19900000,Vampire in Brooklyn ,17262,2348,1,blood|destiny|nightmare|partner|vampire,http://www.imdb.com/title/tt0114825/?ref_=fn_tt_tt_1,R,20000000,4.5,1.85,1000
John Boorman,82,128,467,Richard Burton,,Exorcist II: The Heretic ,16294,2704,7,demon|exorcism|locust|priest|repressed memory,http://www.imdb.com/title/tt0076009/?ref_=fn_tt_tt_1,R,14000000,3.7,1.85,889
Courtney Solomon,125,31,50,James D'Arcy,16298046,An American Haunting ,22207,1608,0,flashback|lifting someone into the air|paranormal phenomena|voice over letter|year 1818,http://www.imdb.com/title/tt0429573/?ref_=fn_tt_tt_1,PG-13,14000000,5.0,2.35,0
David Zucker,56,119,636,Tyler Labine,15549702,My Boss's Daughter ,24038,3007,2,boss' daughter|crush|house sitter|housesitting|love interest,http://www.imdb.com/title/tt0270980/?ref_=fn_tt_tt_1,PG-13,14000000,4.6,1.85,411
David Twohy,160,123,690,Milla Jovovich,15483540,A Perfect Getaway ,56338,41359,4,cliff|hawaii|island|newlywed|waterfall,http://www.imdb.com/title/tt0971209/?ref_=fn_tt_tt_1,R,14000000,6.5,2.35,4000
Rick Famuyiwa,71,44,625,Lance Gross,20246959,Our Family Wedding ,5721,3299,2,california|love|marriage|wedding|wedding dress,http://www.imdb.com/title/tt1305583/?ref_=fn_tt_tt_1,PG-13,14000000,4.9,2.35,1000
Alan Cohn,37,0,654,Linda Cardellini,15062898,Dead Man on Campus ,11729,6861,0,college|college roommate|party|roommate|student,http://www.imdb.com/title/tt0118301/?ref_=fn_tt_tt_1,R,14000000,6.0,1.85,645
Franco Zeffirelli,62,160,55,Joan Plowright,14348123,Tea with Mussolini ,9323,1148,6,ambassador|american|art|english|italy,http://www.imdb.com/title/tt0120857/?ref_=fn_tt_tt_1,PG,12000000,6.9,1.85,970
Tom Holland,73,85,514,Bethany Joy Lenz,15171475,Thinner ,19805,2777,0,death|doctor|gypsy|judge|lawyer,http://www.imdb.com/title/tt0117894/?ref_=fn_tt_tt_1,R,8500000,5.7,1.85,0
Martin Scorsese,59,17000,213,Liza Minnelli,,New York, New York ,13548,23378,0,love|musician|saxophonist|singer|songwriter,http://www.imdb.com/title/tt0076451/?ref_=fn_tt_tt_1,PG,14000000,6.7,1.66,932
Spike Lee,25,0,534,Delroy Lindo,13640000,Crooklyn ,6011,3267,0,argument|birthday|bully|coming of age|semi autobiographical,http://www.imdb.com/title/tt0109504/?ref_=fn_tt_tt_1,PG-13,14000000,6.9,1.85,905
