director_name,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,movie_title,num_voted_users,facenumber_in_poster,movie_imdb_link,content_rating,budget,actor_2_facebook_likes
Vincenzo Natali,104,165,559,900,Splice ,79517,0,http://www.imdb.com/title/tt1017460/?ref_=fn_tt_tt_1,R,26000000,686
Willard Huyck,110,8,322,1000,Howard the Duck ,33669,1,http://www.imdb.com/title/tt0091225/?ref_=fn_tt_tt_1,PG,35000000,692
Gavin O'Connor,130,149,798,1000,Pride and Glory ,53053,0,http://www.imdb.com/title/tt0482572/?ref_=fn_tt_tt_1,R,30000000,807
Bruce Hunt,93,2,258,849,The Cave ,28606,0,http://www.imdb.com/title/tt0402901/?ref_=fn_tt_tt_1,PG-13,30000000,787
Rob Reiner,96,0,130,372,Alex & Emma ,11520,2,http://www.imdb.com/title/tt0318283/?ref_=fn_tt_tt_1,PG-13,30000000,206
Paul McGuigan,114,118,40,489,Wicker Park ,44979,0,http://www.imdb.com/title/tt0324554/?ref_=fn_tt_tt_1,PG-13,30000000,93
Craig Gillespie,106,44,133,596,Fright Night ,85024,1,http://www.imdb.com/title/tt1438176/?ref_=fn_tt_tt_1,R,30000000,343
Terrence Malick,150,0,855,23000,The New World ,70771,0,http://www.imdb.com/title/tt0402399/?ref_=fn_tt_tt_1,PG-13,30000000,909
Chris Roberts,100,38,362,811,Wing Commander ,14747,3,http://www.imdb.com/title/tt0131646/?ref_=fn_tt_tt_1,PG-13,30000000,586
Neil Jordan,100,277,210,21000,In Dreams ,11003,0,http://www.imdb.com/title/tt0120710/?ref_=fn_tt_tt_1,R,30000000,767
James Wong,100,70,99,473,Dragonball: Evolution ,56451,0,http://www.imdb.com/title/tt1098327/?ref_=fn_tt_tt_1,PG,45000000,315
Jee-woon Kim,107,419,165,971,The Last Stand ,114241,2,http://www.imdb.com/title/tt1549920/?ref_=fn_tt_tt_1,R,45000000,236
Nick Hamm,102,6,353,22000,Godsend ,22449,1,http://www.imdb.com/title/tt0335121/?ref_=fn_tt_tt_1,PG-13,25000000,829
Andy Cadiff,101,3,120,448,Chasing Liberty ,30092,0,http://www.imdb.com/title/tt0360139/?ref_=fn_tt_tt_1,PG-13,23000000,143
Mike Disa,86,6,843,1000,Hoodwinked Too! Hood vs. Evil ,9682,0,http://www.imdb.com/title/tt0844993/?ref_=fn_tt_tt_1,PG,30000000,857
Lasse Hallström,108,529,83,11000,An Unfinished Life ,24033,3,http://www.imdb.com/title/tt0350261/?ref_=fn_tt_tt_1,PG-13,30000000,329
Terry Gilliam,123,0,645,10000,The Imaginarium of Doctor Parnassus ,126307,1,http://www.imdb.com/title/tt1054606/?ref_=fn_tt_tt_1,PG-13,40000000,785
Richard J. Lewis,134,12,329,891,Barney's Version ,21086,2,http://www.imdb.com/title/tt1423894/?ref_=fn_tt_tt_1,R,,460
,511,,51,147,Trapped             ,2308,0,http://www.imdb.com/title/tt3561180/?ref_=fn_tt_tt_1,,,63
Brad Furman,88,65,681,3000,Runner Runner ,52069,3,http://www.imdb.com/title/tt2364841/?ref_=fn_tt_tt_1,R,30000000,697
