director_name,duration,director_facebook_likes,actor_2_name,gross,genres,num_voted_users,plot_keywords,movie_imdb_link,num_user_for_reviews,budget,title_year,imdb_score,aspect_ratio
Stephen Daldry,124,335,David Kross,34180954,Drama|Romance,189812,love|reading|teaching oneself to read|trial|war crime,http://www.imdb.com/title/tt0976051/?ref_=fn_tt_tt_1,370,32000000,2008,7.6,1.85
David Wain,98,136,Lauren Ambrose,17225675,Comedy,62198,childbirth|female frontal nudity|nude protest|nudist|skinny dipping,http://www.imdb.com/title/tt1655460/?ref_=fn_tt_tt_1,139,,2012,5.6,1.85
Jon Favreau,97,4000,Zooey Deschanel,173381405,Comedy|Family|Fantasy|Romance,147597,baby|christmas spirit|elf|new york city|north pole,http://www.imdb.com/title/tt0319343/?ref_=fn_tt_tt_1,395,33000000,2003,6.9,1.85
Jon Turteltaub,123,226,Kyra Sedgwick,104632573,Drama|Fantasy|Romance|Sci-Fi,63839,brain tumor|genius|psionic power|telekinesis|terminal illness,http://www.imdb.com/title/tt0117333/?ref_=fn_tt_tt_1,118,32000000,1996,6.4,2.35
Brian Levant,99,32,Nichelle Nichols,81150692,Adventure|Comedy|Family|Sport,20219,dentist|dog|inheritance|race|sled dog,http://www.imdb.com/title/tt0281373/?ref_=fn_tt_tt_1,100,35000000,2002,5.1,1.85
Richard Donner,101,503,Alfre Woodard,60328558,Comedy|Drama|Fantasy,61396,christmas|compassion|executive|ghost|redemption,http://www.imdb.com/title/tt0096061/?ref_=fn_tt_tt_1,159,32000000,1988,7.0,1.85
Jared Hess,92,100,Moises Arias,80197993,Comedy|Family|Sport,65551,lucha libre|monastery|nun|orphan|wrestling,http://www.imdb.com/title/tt0457510/?ref_=fn_tt_tt_1,441,32000000,2006,5.7,1.85
Paul Feig,131,176,Wendi McLendon-Covey,169076745,Comedy|Romance,218711,best friend|failure|food|job|partial female nudity,http://www.imdb.com/title/tt1478338/?ref_=fn_tt_tt_1,485,32500000,2011,6.8,2.35
Evan Goldberg,107,133,James Franco,101470202,Comedy|Fantasy,310540,apocalypse|celebrity|ensemble cast|party|rapture,http://www.imdb.com/title/tt1245492/?ref_=fn_tt_tt_1,669,32000000,2013,6.7,2.35
Rupert Wainwright,103,9,Enrico Colantoni,50041732,Horror,54390,catholic|priest|stigmata|vatican|wound,http://www.imdb.com/title/tt0145531/?ref_=fn_tt_tt_1,398,29000000,1999,6.2,2.35
George Tillman Jr.,129,88,Charlize Theron,48814909,Biography|Drama,89424,african american|amputee|navy|racial discrimination|racism,http://www.imdb.com/title/tt0203019/?ref_=fn_tt_tt_1,224,32000000,2000,7.2,2.35
John Luessenhop,107,34,Hayden Christensen,57744720,Action|Crime|Thriller,46961,armored car|bank|falling out among thieves|heist|planning,http://www.imdb.com/title/tt1135084/?ref_=fn_tt_tt_1,132,20000000,2010,6.2,2.35
Justin Zackham,89,16,Robert De Niro,21784432,Comedy,37493,adoption|divorce|family relationships|farce|wedding,http://www.imdb.com/title/tt1931435/?ref_=fn_tt_tt_1,108,35000000,2013,5.6,2.35
John Whitesell,113,14,Tony Curran,37911876,Action|Comedy|Crime,19671,fbi agent|murder|performing arts school|scene during end credits|undercover,http://www.imdb.com/title/tt1464174/?ref_=fn_tt_tt_1,47,32000000,2011,4.4,2.35
Duncan Jones,93,0,Cas Anvar,54696902,Mystery|Sci-Fi|Thriller,379462,bomber|time|time loop|train|trapped in a time loop,http://www.imdb.com/title/tt0945513/?ref_=fn_tt_tt_1,571,32000000,2011,7.5,1.85
Frank Marshall,120,155,Danny Nucci,36733909,Adventure|Biography|Drama|Thriller,38949,andes mountains|crash|death|starvation|stranded,http://www.imdb.com/title/tt0106246/?ref_=fn_tt_tt_1,112,32000000,1993,7.1,1.85
