director_name,duration,director_facebook_likes,genres,actor_1_name,num_voted_users,actor_3_name,facenumber_in_poster,plot_keywords,language,aspect_ratio,movie_facebook_likes
Guy Ritchie,104,0,Comedy|Crime,Jason Statham,600996,Jason Flemyng,6,boxer|boxing|diamond|fight|gypsy,English,1.85,27000
Brett Leonard,140,32,Horror|Sci-Fi,Jeff Fahey,27800,Troy Evans,0,intelligence|science runs amok|scientist|supernatural power|virtual reality,English,1.85,0
Peter Sollett,90,6,Comedy|Drama|Music|Romance,Ari Graynor,74887,Aaron Yoo,2,band|gay|gay friend|love|night,English,1.85,0
Kevin Smith,130,0,Adventure|Comedy|Drama|Fantasy,Matt Damon,181737,George Carlin,8,abortion|abortion clinic|angel|church|clinic,English,2.35,10000
Bob Dolman,98,7,Comedy|Drama,Erika Christensen,12388,Sal Lopez,2,bartender|groupie|lawyer|road trip|writer,English,2.35,744
Joe Dante,101,287,Fantasy|Horror|Sci-Fi,Albert Brooks,25613,Vic Morrow,0,1940s|1960s|bar|kick the can|remake,English,1.85,0
Rowdy Herrington,114,9,Action|Thriller,Ben Gazzara,42987,Kelly Lynch,1,bikini|cult film|fired from the job|martial arts|violence,English,2.35,0
Keenen Ivory Wayans,100,322,Action|Comedy|Crime,Jada Pinkett Smith,3924,Charles S. Dutton,2,drugs|ex cop|gun fu|machismo|shootout,English,1.85,368
John Polson,85,21,Drama|Thriller,Erika Christensen,16300,Jason Ritter,0,high school|hospital|new jersey|stanford university|swimming,English,2.35,720
Greg Coolidge,103,27,Comedy|Romance,Dane Cook,37681,Jessica Simpson,2,competition|date|employee|laser in eyes|slacker,English,1.85,0
Harry Elfont,100,4,Comedy|Romance,Ethan Embry,37885,Charlie Korsmo,4,graduation|high school|letter|nerd|party,English,1.85,0
Francis Ford Coppola,114,0,Crime|Drama,Tom Cruise,57363,Tom Waits,0,dysfunctional family|gang|greaser|holding someone's head underwater|rivalry,English,2.35,10000
David Lowery,102,38,Adventure|Family|Fantasy,Bryce Dallas Howard,408,Isiah Whitlock Jr.,0,,English,2.35,21000
David Cronenberg,103,0,Horror|Sci-Fi|Thriller,Tom Skerritt,44804,Anthony Zerbe,0,car accident|coma|evil politician|psychic|vision,English,1.85,0
Ciarán Foy,97,11,Horror|Mystery|Thriller,Laila Haley,25210,Jaden Klein,0,deputy|farmhouse|nightmare|private investigator|rural,English,2.35,13000
Salim Akil,116,70,Drama|Music,Omari Hardwick,5161,Mike Epps,7,1960s|death|girl group|nightclub|sister,English,2.35,0
Jamie Blanks,96,9,Horror|Mystery|Thriller,Marley Shelton,20467,Johnny Whitworth,1,dance|nosebleed|revenge|valentine|valentine's day,English,2.35,0
Olatunde Osunsanmi,98,58,Mystery|Sci-Fi|Thriller,Milla Jovovich,63108,Hakeem Kae-Kazim,0,abduction|alaska|alien|owl|patient,English,2.35,15000
Robert Altman,105,500,Comedy|Drama|Music,Meryl Streep,19655,Lily Tomlin,8,backstage|country music|cowboy|radio|singing,English,2.35,683
Leon Ichaso,123,5,Drama|Thriller,Khandi Alexander,3119,Steve Harris,1,african american|harlem manhattan new york city|manhattan new york city|new york city|urination,English,1.85,331
Joseph Zito,107,17,Action|Thriller,Billy Drago,6143,Eddie Jones,1,army|nightmare|one man army|rescue|spy,English,1.85,0
Malcolm D. Lee,112,92,Comedy|Drama|Music|Romance,Jurnee Smollett-Bell,5585,Shad Moss,0,1970s|boy|competition|roller skates|tubesocks,English,2.35,997
Wes Anderson,93,0,Comedy|Drama,Bill Murray,134458,Olivia Williams,2,coming of age|friendship|private school|student|teacher,English,2.35,5000
Colin Strause,97,25,Action|Sci-Fi|Thriller,David Zayas,76199,Brittany Daniel,0,apartment|blue light|drawing|group of friends|light,English,2.35,13000
John Madden,122,108,Comedy|Drama,Tina Desai,22369,Ronald Pickup,6,sequel,English,2.35,21000
Patricia Rozema,101,22,Drama|Family,Julia Ormond,4719,Willow Smith,1,boarding house|girl|great depression|house|ohio,English,1.85,851
Mark Rosman,100,15,Comedy|Family|Romance,Ben Feldman,23527,Vanessa Lengies,3,e mail|moving|perfect man|secret admirer|suitor,English,1.85,767
Spike Lee,129,0,Drama|Music|Romance,Denzel Washington,8295,Charlie Murphy,1,comeback|friend|jazz|stage|trumpet,English,1.85,720
Steve Oedekerk,81,176,Action|Comedy,Steve Oedekerk,37901,Jennifer Tung,1,chosen one|comic violence|intentionally bad|kung fu|stylized violence,English,2.35,0
Ron Underwood,96,31,Comedy|Horror|Sci-Fi,Reba McEntire,90070,Michael Gross,0,desert|giant worm|monster|pipe bomb|small town,English,1.85,11000
Rob Schmidt,84,36,Horror|Thriller,Kevin Zegers,87494,Julian Richings,1,forest|mountain|road|stupid victim|west virginia,English,1.85,0
Walter Hill,100,394,Western,Dennis Quaid,7322,Randy Quaid,0,bank|breasts|famous score|last man standing|revenge,English,1.85,680
James Foley,110,164,Action|Crime|Drama|Mystery|Thriller,Byron Mann,15358,Kim Chan,2,chinatown|illegal immigrant|new york|police|triad,English,2.35,328
Jeff Nichols,130,337,Drama,Matthew McConaughey,135286,Sam Shepard,1,14 year old|boat|bounty hunter|boy|river,English,2.35,27000
Robert Ben Garant,84,134,Comedy|Crime,Wendi McLendon-Covey,23928,Carlos Alazraqui,2,beach|police|sex scene|spring break|vomiting,English,1.85,441
Morgan Spurlock,106,293,Documentary|Music,Harry Styles,22161,Niall Horan,11,3 dimensional|concert footage|englishman abroad|reference to keith richards|reference to the doors,English,1.85,0
Neal Brennan,89,23,Comedy,Rob Riggle,17790,Charles Napier,5,fourth of july|looking at one's self in a mirror|mirror|sex toy|young version of character,English,1.85,0
Tuck Tucker,76,14,Adventure|Animation|Comedy|Family,Jennifer Jason Leigh,4564,Paul Sorvino,0,castle thunder|document|neighborhood|punctuation in title|villain arrested,English,1.85,227
Simon Curtis,99,64,Biography|Drama,Eddie Redmayne,71679,Julia Ormond,1,actress|assistant director|blonde bombshell|movie star|wardrobe,English,2.35,17000
Richard Shepard,96,47,Comedy|Crime|Drama|Thriller,Adam Scott,40514,Hope Davis,0,bar|hitman|luck|mexico|mexico city,English,2.35,808
Theodore Witcher,104,28,Drama|Romance,Leonard Roberts,2801,Larenz Tate,0,african american|cult film|ex boyfriend|middle class|sex,English,1.85,1000
Joel Edgerton,108,0,Mystery|Thriller,Busy Philipps,79909,Wendell Pierce,1,compulsive liar|fired from a job|gift|rape|substance abuse,English,2.35,15000
Jim Hanon,108,2,Adventure|Drama,Chase Ellison,4360,Jack Guzman,3,death|missionary|spear|speared to death|tribe,English,2.35,1000
Tommy O'Haver,87,13,Comedy|Romance,Mila Kunis,15617,Carmen Electra,1,basketball|dancer|high school|love triangle|shakespeare's a midsummer night's dream,English,2.35,0
Mike Judge,89,406,Comedy,Gary Cole,200293,Diedrich Bader,0,boss|computer|downsizing|neighbor|office,English,1.85,16000
Michael Patrick Jann,97,31,Comedy|Romance|Thriller,Kirsten Dunst,27265,Ellen Barkin,0,beauty pageant|blonde|cheerleader uniform|small town|upskirt,English,1.85,0
Tim Burton,106,13000,Biography|Crime|Drama|Romance,Christoph Waltz,55539,Jon Polito,3,1950s|abusive husband|artist|painting|secret,English,1.85,20000
Peter Berg,100,532,Comedy|Crime|Thriller,Jon Favreau,39331,Jeanne Tripplehorn,0,bachelor party|breasts|friend|prostitute|wedding,English,1.85,0
Joe Nussbaum,89,18,Comedy|Romance,Steve Carell,12706,Hunter Parrish,9,best friend|party|rival|scavenger hunt|sleepover,English,1.85,0
Brian De Palma,114,0,Mystery|Thriller,Melanie Griffith,20113,Gregg Henry,0,actor|neighbor|police|thief|tunnel,English,1.85,0
Jorma Taccone,95,434,Action|Comedy|Romance,Jasper Cole,35888,Powers Boothe,3,colonel|lieutenant|nuclear warhead|team|washington d.c.,English,2.35,0
Stephen Frears,97,350,Crime|Drama|Thriller,Sophie Okonedo,34848,Sergi López,1,hotel|immigrant|nigerian|surgery|underwear,English,1.85,0
Elizabeth Banks,94,0,Comedy,Hugh Jackman,79146,Seth MacFarlane,10,awkwardness|embarrassment|gross out|irreverence|shame,English,1.85,25000
Florian Henckel von Donnersmarck,103,207,Action|Romance|Thriller,Johnny Depp,176606,Rufus Sewell,0,police surveillance|surveillance van|tailing a suspect|tourist|venice italy,English,2.35,25000
Jeff Lowell,95,4,Comedy|Fantasy|Romance,Stephen Root,21268,Wendi McLendon-Covey,0,accident|diary|ghost|psychic|veterinarian,English,2.35,518
Lorene Scafaria,101,63,Adventure|Comedy|Drama|Romance|Sci-Fi,Steve Carell,87203,Rob Huebel,2,candle|end of the world|letter|record|road trip,English,2.35,25000
Miguel Arteta,87,44,Comedy,Kurtwood Smith,32697,Alia Shawkat,1,award|cedar rapids iowa|convention|hotel|insurance,English,1.85,0
,40,,Comedy|Crime|Drama|Mystery|Romance,Michaela Conlin,111506,Tamara Taylor,2,anthropologist|fbi|fbi agent|forensics|investigation,English,1.78,0
